mass,year,dispersed,distance
331,1980,Unknown,NA
326,1980,Unknown,NA
338,1980,Unknown,NA
350,1980,Unknown,NA
313,1981,Unknown,NA
353,1981,Unknown,NA
340,1981,Unknown,NA
339,1981,Unknown,NA
373,1981,Unknown,NA
340,1981,Unknown,NA
342,1981,Unknown,NA
333,1982,Unknown,NA
329,1982,Unknown,NA
307,1982,Unknown,NA
345,1982,Unknown,NA
326,1983,Unknown,NA
329,1983,Unknown,NA
323,1983,Unknown,NA
334,1983,Unknown,NA
351,1983,Unknown,NA
276,1983,Unknown,NA
321,1983,Unknown,NA
374,1983,Unknown,NA
330,1983,Unknown,NA
334,1983,Unknown,NA
329,1983,Unknown,NA
346,1983,Unknown,NA
355,1983,Unknown,NA
350,1983,Unknown,NA
295,1983,Unknown,NA
338,1984,Unknown,NA
327,1984,Unknown,NA
322,1984,Unknown,NA
344,1984,Unknown,NA
353,1984,Unknown,NA
340,1984,Unknown,NA
321,1984,Unknown,NA
305,1984,Unknown,NA
339,1984,Unknown,NA
357,1984,Unknown,NA
321,1985,Unknown,NA
322,1985,Unknown,NA
345,1986,Unknown,NA
356,1986,Unknown,NA
317,1986,Unknown,NA
325,1986,Unknown,NA
328,1986,Unknown,NA
388,1987,Unknown,NA
312,1987,Unknown,NA
351,1987,Unknown,NA
356,1988,Unknown,NA
322,1988,Unknown,NA
300,1988,Unknown,NA
318,1988,Unknown,NA
332,1988,Unknown,NA
331,1988,Unknown,NA
318,1988,Unknown,NA
325,1989,Unknown,NA
387,1989,Unknown,NA
351,1989,Unknown,NA
329,1989,Unknown,NA
293,1989,Unknown,NA
318,1990,Unknown,NA
336,1990,Unknown,NA
338,1990,Unknown,NA
367,1990,Unknown,NA
347,1990,Unknown,NA
301,1990,Unknown,NA
320,1990,Unknown,NA
301,1991,Unknown,NA
303,1991,Unknown,NA
344,1991,Unknown,NA
317,1991,Unknown,NA
311,1991,Unknown,NA
365,1991,Unknown,NA
334,1991,Unknown,NA
303,1991,Unknown,NA
333,1991,Unknown,NA
303,1991,Unknown,NA
307,1991,Unknown,NA
292,1991,Unknown,NA
329,1991,Unknown,NA
337,1992,Unknown,NA
334,1992,Unknown,NA
311,1992,Unknown,NA
310,1992,Unknown,NA
282,1993,Unknown,NA
310,1993,Unknown,NA
333,1993,Unknown,NA
338,1993,Unknown,NA
389,1993,Unknown,NA
338,1993,Unknown,NA
316,1993,Unknown,NA
344,1993,Unknown,NA
322,1993,Unknown,NA
333,1993,Unknown,NA
324,1993,Unknown,NA
337,1993,Unknown,NA
291,1993,Unknown,NA
301,1993,Unknown,NA
318,1994,Unknown,NA
275,1994,Unknown,NA
322,1994,Unknown,NA
351,1994,Unknown,NA
367,1994,Unknown,NA
307,1994,Unknown,NA
348,1994,Unknown,NA
340,1994,Unknown,NA
310,1994,Unknown,NA
326,1994,Unknown,NA
333,1994,Unknown,NA
323,1994,Unknown,NA
335,1994,Unknown,NA
320,1995,Unknown,NA
316,1995,Unknown,NA
322,1995,Unknown,NA
330,1995,Unknown,NA
363,1995,Unknown,NA
357,1995,Unknown,NA
372,1995,Unknown,NA
345,1995,Unknown,NA
307,1995,Unknown,NA
373,1995,Unknown,NA
348,1995,Unknown,NA
313,1995,Unknown,NA
315,1995,Unknown,NA
340,1995,Unknown,NA
348,1995,Unknown,NA
324,1996,Unknown,NA
347,1996,Unknown,NA
326,1996,Unknown,NA
327,1996,Unknown,NA
373,1996,Unknown,NA
327,1996,Unknown,NA
327,1996,Unknown,NA
319,1996,Unknown,NA
357,1996,Unknown,NA
317,1996,Unknown,NA
351,1997,Unknown,NA
322,1997,Unknown,NA
360,1997,Unknown,NA
312,1997,Unknown,NA
355,1997,Unknown,NA
320,1997,Unknown,NA
325,1997,Unknown,NA
317,1997,Unknown,NA
313,1997,Unknown,NA
336,1997,Unknown,NA
341,1997,Unknown,NA
329,1997,Unknown,NA
307,1997,Unknown,NA
330,1997,Unknown,NA
297,1997,Unknown,NA
346,1998,Unknown,NA
330,1998,Unknown,NA
345,1998,Unknown,NA
334,1998,Unknown,NA
321,1998,Unknown,NA
358,1998,Unknown,NA
306,1998,Unknown,NA
331,1998,Unknown,NA
321,1998,Unknown,NA
364,1998,Unknown,NA
319,1998,Unknown,NA
302,1998,Unknown,NA
326,1998,Unknown,NA
295,1999,Unknown,NA
345,1999,Unknown,NA
340,1999,Unknown,NA
330,1999,Unknown,NA
317,1999,Unknown,NA
315,1999,Unknown,NA
308,1999,Unknown,NA
338,2000,Unknown,NA
353,2000,Unknown,NA
326,2000,Unknown,NA
321,2000,Unknown,NA
341,2000,Unknown,NA
350,2000,Unknown,NA
335,2000,Unknown,NA
325,2000,Unknown,NA
327,2001,Unknown,NA
320,2001,Unknown,NA
313,2001,Unknown,NA
329,2001,Unknown,NA
336,2002,Unknown,NA
332,2002,Unknown,NA
312,2002,Unknown,NA
342,2003,Unknown,NA
332,2003,Unknown,NA
337,2003,Unknown,NA
353,2003,Unknown,NA
344,2003,Unknown,NA
328,2003,Unknown,NA
322,2003,Unknown,NA
309,2003,Unknown,NA
324,2004,Unknown,NA
333,2004,Unknown,NA
330,2004,Unknown,NA
327,2004,Unknown,NA
321,2004,Unknown,NA
319,2004,Unknown,NA
